STRUCTURE,STRUCTURE_ID,freq,unit,tra_meas,rep_airp,schedule,tra_cov,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBBG,TOT,NAT,2019,19428,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBBG,TOT,NAT,2020,6399,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBBG,TOT,NAT,2021,13489,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBBG,TOT,NAT,2022,15181,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBSF,TOT,INTL,2017,3067208,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBSF,TOT,INTL,2018,3289210,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBSF,TOT,INTL,2019,3381010,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBSF,TOT,INTL,2020,1344843,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBSF,TOT,INTL,2021,1523743,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBSF,TOT,INTL,2022,2830634,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBSF,TOT,NAT,2017,134761,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBSF,TOT,NAT,2018,153001,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBSF,TOT,NAT,2019,141679,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBSF,TOT,NAT,2020,64435,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBSF,TOT,NAT,2021,98586,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBSF,TOT,NAT,2022,115574,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBWN,TOT,INTL,2017,852528,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBWN,TOT,INTL,2018,990293,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBWN,TOT,INTL,2019,902416,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBWN,TOT,INTL,2020,244160,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBWN,TOT,INTL,2021,451267,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBWN,TOT,INTL,2022,627628,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBWN,TOT,NAT,2017,139230,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBWN,TOT,NAT,2018,156192,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBWN,TOT,NAT,2019,141136,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBWN,TOT,NAT,2020,66278,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBWN,TOT,NAT,2021,105372,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,BG_LBWN,TOT,NAT,2022,114873,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LFSB,TOT,INTL,2017,3617606,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LFSB,TOT,INTL,2018,3916411,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LFSB,TOT,INTL,2019,4180254,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LFSB,TOT,INTL,2020,1159627,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LFSB,TOT,INTL,2021,1525978,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LFSB,TOT,INTL,2022,3102600,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LFSB,TOT,NAT,2017,3317,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LFSB,TOT,NAT,2018,2222,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LFSB,TOT,NAT,2019,45,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LFSB,TOT,NAT,2020,2,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LFSB,TOT,NAT,2021,202,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LFSB,TOT,NAT,2022,361,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGG,TOT,INTL,2017,8311960,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGG,TOT,INTL,2018,8471329,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGG,TOT,INTL,2019,8602090,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGG,TOT,INTL,2020,2676449,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGG,TOT,INTL,2021,2878183,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGG,TOT,INTL,2022,6869781,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGG,TOT,NAT,2017,313318,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGG,TOT,NAT,2018,311866,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGG,TOT,NAT,2019,320191,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGG,TOT,NAT,2020,85550,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGG,TOT,NAT,2021,91509,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGG,TOT,NAT,2022,167042,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGS,TOT,INTL,2017,4272,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGS,TOT,INTL,2018,4232,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGS,TOT,INTL,2019,1025,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGS,TOT,INTL,2020,887,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGS,TOT,INTL,2021,5906,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGS,TOT,INTL,2022,2056,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGS,TOT,NAT,2017,363,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGS,TOT,NAT,2018,167,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGS,TOT,NAT,2019,181,
dataflow,ESTAT:AVIA_PAOA(1.0),A,PAS,PAS_BRD_ARR,CH_LSGS,TOT,NAT,2020,0,
